update,global_step,sps,mean_episodic_reward,policy_loss,value_loss,entropy_loss
116,237568,847,51.0,0.11242973804473877,0.29212266206741333,2.2000439167022705
117,239616,847,51.63636363636363,0.12892480194568634,0.21602557599544525,2.2153573036193848
118,241664,847,56.0,0.1353297382593155,0.052013687789440155,2.282726764678955
119,243712,847,55.3,0.17768022418022156,0.20350205898284912,2.269049644470215
120,245760,847,51.9,0.06769543886184692,0.11390826851129532,2.2796623706817627
121,247808,847,52.72727272727273,0.03986271843314171,0.08190663158893585,2.233044147491455
122,249856,847,55.8,0.001986122690141201,0.0709814727306366,2.240797996520996
123,251904,847,57.7,0.06596814095973969,0.058736030012369156,2.282167911529541
124,253952,847,51.2,0.01842915453016758,0.07112503051757812,2.2813167572021484
125,256000,847,55.6,-0.8095375299453735,12.808034896850586,2.2186341285705566
126,258048,847,55.45454545454545,0.09141296148300171,0.20935077965259552,2.239990711212158
127,260096,847,48.4,0.08639615774154663,0.08133625239133835,2.213066339492798
128,262144,847,54.1,0.1315935105085373,0.1264561414718628,2.21193265914917
129,264192,847,54.8,0.044700078666210175,0.05853414908051491,2.202672004699707
130,266240,847,53.72727272727273,0.016404196619987488,0.107526034116745,2.244697093963623
131,268288,847,52.8,0.10880360007286072,0.10956183820962906,2.285491943359375
132,270336,847,51.6,0.0929933413863182,0.07121935486793518,2.2476019859313965
133,272384,847,53.9,0.021747881546616554,0.058555979281663895,2.2601876258850098
134,274432,847,53.81818181818182,0.0336218886077404,0.04101720452308655,2.2478175163269043
135,276480,847,49.7,0.1288633793592453,0.05436732992529869,2.250826358795166
136,278528,847,52.4,0.04947992041707039,0.07100515067577362,2.262737512588501
137,280576,848,53.5,0.025011982768774033,0.1826094090938568,2.2753610610961914
138,282624,848,51.72727272727273,0.08184842765331268,0.0860845297574997,2.293087959289551
139,284672,848,55.3,0.08298465609550476,0.07721686363220215,2.2998268604278564
140,286720,848,50.5,0.04110781103372574,0.14039196074008942,2.302854061126709
141,288768,848,48.8,0.12835454940795898,0.08111502230167389,2.2470200061798096
142,290816,848,55.36363636363637,0.16882801055908203,0.11983655393123627,2.262876033782959
143,292864,848,55.9,0.05407734960317612,0.057780154049396515,2.3024353981018066
144,294912,848,54.5,-0.014115693978965282,0.09005606174468994,2.2995238304138184
145,296960,848,53.6,0.07558068633079529,0.0999244675040245,2.312286138534546
146,299008,848,57.45454545454545,0.03385748341679573,0.10448254644870758,2.310716390609741
147,301056,848,59.7,-0.07937916368246078,0.04186386615037918,2.31044864654541
148,303104,848,56.1,-0.10209455341100693,0.056432463228702545,2.3104629516601562
149,305152,848,54.9,0.0033815570641309023,0.06234604865312576,2.302924871444702
150,307200,848,55.8,-0.49713706970214844,9.176776885986328,2.2544445991516113
151,309248,848,53.72727272727273,0.25274190306663513,0.138344407081604,2.228440761566162
152,311296,848,53.8,0.1251230090856552,0.12983161211013794,2.262465476989746
153,313344,848,56.8,0.1002262681722641,0.09429307281970978,2.2643489837646484
154,315392,848,58.9,0.1084657609462738,0.05108047276735306,2.284813404083252
155,317440,848,52.63636363636363,0.025065630674362183,0.042995430529117584,2.283234119415283
156,319488,848,53.0,-0.008551614359021187,0.051425255835056305,2.2826547622680664
157,321536,848,55.6,0.032897308468818665,0.050233393907547,2.3125104904174805
158,323584,849,49.8,0.022488711401820183,0.040144387632608414,2.300619602203369
159,325632,849,54.54545454545455,0.07003852725028992,0.05766218528151512,2.2952466011047363
160,327680,849,57.3,0.035829074680805206,0.024962525814771652,2.306813955307007
161,329728,849,55.4,0.0029292567633092403,0.04978049919009209,2.2978265285491943
162,331776,849,49.5,0.0075308531522750854,0.040773164480924606,2.288841485977173
163,333824,849,53.63636363636363,-0.005100931040942669,0.06645707041025162,2.3006858825683594
164,335872,849,53.2,0.052518330514431,0.0647994875907898,2.315847873687744
165,337920,849,43.8,0.06228847801685333,0.01840156689286232,2.348726987838745
166,339968,849,56.4,-0.021137602627277374,0.05613125115633011,2.318786859512329
167,342016,849,51.81818181818182,0.12795910239219666,0.07311280816793442,2.3122386932373047
